Time (s),Target RTD,Measured RTD,PWM (%)
2.166475296020508,0.0,61.79,0.0
2.172487258911133,0.0,62.05,0.0
2.172487258911133,0.0,62.05,0.0
2.173489809036255,0.0,62.05,0.0
2.174494743347168,0.0,62.56,0.0
2.1754953861236572,0.0,62.56,0.0
2.1785061359405518,0.0,62.56,0.0
2.1850242614746094,0.0,63.08,0.0
2.188028335571289,0.0,61.54,0.0
2.1940441131591797,0.0,62.05,0.0
2.1980555057525635,0.0,62.56,0.0
2.199057102203369,0.0,62.05,0.0
2.199057102203369,0.0,62.05,0.0
2.2010622024536133,0.0,62.56,0.0
2.2010622024536133,0.0,62.24,0.0
2.2010622024536133,0.0,62.05,0.0
2.2010622024536133,0.0,62.05,0.0
2.2010622024536133,0.0,62.31,0.0
2.2020645141601562,0.0,61.54,0.0
2.2020645141601562,0.0,62.56,0.0
2.2020645141601562,0.0,62.24,0.0
2.2020645141601562,0.0,61.92,0.0
2.2020645141601562,0.0,63.6,0.0
2.2020645141601562,0.0,62.82,0.0
2.2030677795410156,0.0,62.31,0.0
2.2030677795410156,0.0,62.05,0.0
2.2030677795410156,0.0,62.56,0.0
2.2030677795410156,0.0,62.31,0.0
2.2030677795410156,0.0,62.05,0.0
2.2040719985961914,0.0,62.05,0.0
2.2040719985961914,0.0,61.99,0.0
2.2040719985961914,0.0,62.95,0.0
2.2040719985961914,0.0,62.18,0.0
2.2040719985961914,0.0,61.28,0.0
2.2040719985961914,0.0,62.69,0.0
2.205073833465576,0.0,62.05,0.0
2.205073833465576,0.0,61.54,0.0
2.205073833465576,0.0,62.05,0.0
2.205073833465576,0.0,62.05,0.0
2.205073833465576,0.0,62.37,0.0
2.2060766220092773,0.0,62.56,0.0
2.2060766220092773,0.0,62.05,0.0
2.2060766220092773,0.0,62.05,0.0
2.2060766220092773,0.0,62.18,0.0
2.2060766220092773,0.0,62.05,0.0
2.2060766220092773,0.0,62.05,0.0
2.207078695297241,0.0,62.05,0.0
2.207078695297241,0.0,62.82,0.0
2.207078695297241,0.0,62.05,0.0
2.207078695297241,0.0,62.31,0.0
2.207078695297241,0.0,62.56,0.0
2.207078695297241,0.0,61.6,0.0
2.2080812454223633,0.0,62.56,0.0
2.2080812454223633,0.0,61.73,0.0
2.2080812454223633,0.0,62.05,0.0
2.2080812454223633,0.0,62.05,0.0
2.2080812454223633,0.0,62.56,0.0
2.2080812454223633,0.0,62.37,0.0
2.20908522605896,0.0,61.54,0.0
2.20908522605896,0.0,61.54,0.0
2.20908522605896,0.0,62.37,0.0
2.20908522605896,0.0,62.05,0.0
2.20908522605896,0.0,62.05,0.0
2.20908522605896,0.0,62.05,0.0
2.2100863456726074,0.0,62.56,0.0
2.2100863456726074,0.0,62.69,0.0
2.2100863456726074,0.0,62.69,0.0
2.2100863456726074,0.0,61.54,0.0
2.2100863456726074,0.0,62.18,0.0
2.2100863456726074,0.0,62.31,0.0
2.2100863456726074,0.0,62.24,0.0
