Time (s),Target RTD,Measured RTD,PWM (%)
2.1749722957611084,0.0,63.28,0.0
2.1749722957611084,0.0,63.08,0.0
2.1759748458862305,0.0,63.34,0.0
2.1759748458862305,0.0,64.13,0.0
2.1780714988708496,0.0,64.13,0.0
2.180107831954956,0.0,63.41,0.0
2.187713146209717,0.0,64.13,0.0
2.1959707736968994,0.0,64.06,0.0
2.1989941596984863,0.0,63.28,0.0
2.200002908706665,0.0,64.13,0.0
2.201014280319214,0.0,62.05,0.0
2.2020163536071777,0.0,64.39,0.0
2.203118324279785,0.0,63.08,0.0
2.203118324279785,0.0,63.41,0.0
2.203118324279785,0.0,63.6,0.0
2.203118324279785,0.0,63.87,0.0
2.203118324279785,0.0,62.63,0.0
2.203118324279785,0.0,64.46,0.0
2.2041683197021484,0.0,63.34,0.0
2.2041683197021484,0.0,64.13,0.0
2.2041683197021484,0.0,63.87,0.0
2.2041683197021484,0.0,63.15,0.0
2.2041683197021484,0.0,63.73,0.0
2.2041683197021484,0.0,64.06,0.0
2.2041683197021484,0.0,64.33,0.0
2.2051756381988525,0.0,64.13,0.0
2.2051756381988525,0.0,63.8,0.0
2.2051756381988525,0.0,64.13,0.0
2.2051756381988525,0.0,63.15,0.0
2.2051756381988525,0.0,63.6,0.0
2.206184148788452,0.0,64.13,0.0
2.206184148788452,0.0,63.08,0.0
2.206184148788452,0.0,64.13,0.0
2.206184148788452,0.0,63.67,0.0
2.206184148788452,0.0,63.08,0.0
2.206184148788452,0.0,62.82,0.0
2.2071893215179443,0.0,63.34,0.0
2.2071893215179443,0.0,63.08,0.0
2.2071893215179443,0.0,64.13,0.0
2.2071893215179443,0.0,63.15,0.0
2.2071893215179443,0.0,63.34,0.0
2.2071893215179443,0.0,63.8,0.0
2.208193063735962,0.0,64.13,0.0
2.208193063735962,0.0,64.13,0.0
2.208193063735962,0.0,63.6,0.0
2.208193063735962,0.0,64.13,0.0
2.208193063735962,0.0,64.0,0.0
2.208193063735962,0.0,64.39,0.0
2.2092623710632324,0.0,66.26,0.0
2.2092623710632324,0.0,64.46,0.0
2.2092623710632324,0.0,63.34,0.0
2.2092623710632324,0.0,63.67,0.0
2.2092623710632324,0.0,63.08,0.0
2.2092623710632324,0.0,64.13,0.0
2.2092623710632324,0.0,64.13,0.0
2.2102668285369873,0.0,64.13,0.0
2.2102668285369873,0.0,64.39,0.0
2.2102668285369873,0.0,63.34,0.0
2.2102668285369873,0.0,63.08,0.0
