Time (s),Target RTD,Measured RTD,PWM (%)
2.1874887943267822,0.0,65.52,0.0
2.188502311706543,0.0,66.26,0.0
2.188502311706543,0.0,66.26,0.0
2.1895344257354736,0.0,66.53,0.0
2.1895344257354736,0.0,65.45,0.0
2.190537691116333,0.0,65.45,0.0
2.1936581134796143,0.0,65.25,0.0
2.1998496055603027,0.0,65.45,0.0
2.206888437271118,0.0,66.26,0.0
2.2078897953033447,0.0,65.86,0.0
2.2109479904174805,0.0,65.19,0.0
2.212392807006836,0.0,65.72,0.0
2.214402914047241,0.0,65.72,0.0
2.214402914047241,0.0,66.26,0.0
2.214402914047241,0.0,65.52,0.0
2.214402914047241,0.0,66.4,0.0
2.214402914047241,0.0,66.53,0.0
2.214402914047241,0.0,65.19,0.0
2.214402914047241,0.0,65.86,0.0
2.2154057025909424,0.0,66.26,0.0
2.2154057025909424,0.0,66.4,0.0
2.2154057025909424,0.0,65.45,0.0
2.2154057025909424,0.0,65.25,0.0
2.2154057025909424,0.0,65.39,0.0
2.2154057025909424,0.0,66.26,0.0
2.2154057025909424,0.0,65.45,0.0
2.2164103984832764,0.0,66.26,0.0
2.2164103984832764,0.0,66.19,0.0
2.2164103984832764,0.0,64.66,0.0
2.2164103984832764,0.0,66.53,0.0
2.2164103984832764,0.0,65.19,0.0
2.2164103984832764,0.0,65.72,0.0
2.217411518096924,0.0,65.72,0.0
2.217411518096924,0.0,65.99,0.0
2.217411518096924,0.0,65.72,0.0
2.217411518096924,0.0,66.26,0.0
2.217411518096924,0.0,66.26,0.0
2.217411518096924,0.0,65.72,0.0
2.217411518096924,0.0,66.06,0.0
2.2186100482940674,0.0,66.06,0.0
2.2186100482940674,0.0,65.86,0.0
2.2186100482940674,0.0,66.26,0.0
2.2186100482940674,0.0,65.45,0.0
2.2186100482940674,0.0,66.19,0.0
2.2186100482940674,0.0,66.26,0.0
2.2186100482940674,0.0,65.79,0.0
2.2196154594421387,0.0,66.19,0.0
2.2196154594421387,0.0,66.26,0.0
2.2196154594421387,0.0,66.26,0.0
2.2196154594421387,0.0,66.26,0.0
2.2196154594421387,0.0,65.19,0.0
2.2196154594421387,0.0,66.26,0.0
2.22065806388855,0.0,65.79,0.0
2.22065806388855,0.0,65.66,0.0
2.22065806388855,0.0,65.72,0.0
2.22065806388855,0.0,66.46,0.0
2.22065806388855,0.0,65.19,0.0
2.22065806388855,0.0,66.26,0.0
2.22065806388855,0.0,65.72,0.0
2.22166109085083,0.0,66.53,0.0
2.22166109085083,0.0,66.53,0.0
2.22166109085083,0.0,66.26,0.0
2.22166109085083,0.0,66.26,0.0
2.22166109085083,0.0,65.45,0.0
2.22166109085083,0.0,65.72,0.0
2.22166109085083,0.0,66.19,0.0
2.2227370738983154,0.0,66.26,0.0
2.2227370738983154,0.0,66.4,0.0
2.2227370738983154,0.0,65.52,0.0
2.2227370738983154,0.0,66.13,0.0
2.2227370738983154,0.0,65.99,0.0
2.2237467765808105,0.0,66.26,0.0
2.2237467765808105,0.0,66.4,0.0
2.2237467765808105,0.0,65.19,0.0
2.2237467765808105,0.0,65.72,0.0
2.2237467765808105,0.0,65.19,0.0
2.2249341011047363,0.0,65.72,0.0
2.2249341011047363,0.0,66.26,0.0
2.2249341011047363,0.0,65.72,0.0
2.2249341011047363,0.0,65.79,0.0
2.2249341011047363,0.0,65.99,0.0
2.2249341011047363,0.0,65.39,0.0
2.2260005474090576,0.0,65.72,0.0
2.2260005474090576,0.0,66.26,0.0
2.2260005474090576,0.0,66.4,0.0
2.2273011207580566,0.0,65.72,0.0
2.2273011207580566,0.0,66.26,0.0
2.2273011207580566,0.0,65.19,0.0
2.2273011207580566,0.0,66.26,0.0
2.2273011207580566,0.0,65.19,0.0
